,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,Layups,Layups,,Corner,Corner,Heaves,Heaves
Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
1,Atlanta Hawks,67,16280,.449,14.1,.602,.291,.155,.097,.059,.398,.525,.658,.414,.394,.376,.333,.525,.086,448,.268,829,.743,.201,.342,13,1
2,Boston Celtics*,64,15485,.459,13.9,.618,.276,.178,.095,.070,.382,.519,.655,.391,.445,.406,.363,.490,.051,257,.314,938,.703,.178,.386,17,0
3,Brooklyn Nets,64,15560,.444,13.6,.580,.321,.151,.068,.039,.420,.519,.644,.356,.362,.400,.340,.521,.072,358,.324,940,.772,.215,.360,13,0
4,Chicago Bulls,65,15675,.447,13.3,.604,.340,.152,.057,.055,.396,.511,.627,.362,.375,.354,.348,.487,.072,372,.305,900,.812,.225,.383,13,0
5,Charlotte Hornets,65,15750,.434,13.5,.601,.303,.192,.062,.044,.399,.489,.627,.357,.321,.352,.352,.560,.061,307,.299,828,.803,.201,.397,14,0
6,Cleveland Cavaliers,65,15725,.458,13.3,.638,.297,.183,.101,.057,.362,.519,.640,.407,.443,.384,.351,.472,.057,295,.267,833,.835,.188,.396,7,0
7,Dallas Mavericks,67,16180,.462,15.3,.539,.243,.162,.080,.053,.461,.542,.702,.404,.414,.429,.369,.477,.056,302,.231,811,.780,.200,.414,18,0
8,Denver Nuggets,65,15750,.471,13.3,.658,.276,.184,.104,.094,.342,.529,.683,.399,.414,.460,.358,.558,.057,294,.266,870,.850,.201,.403,16,1
9,Detroit Pistons,66,15965,.459,13.2,.619,.282,.214,.072,.050,.381,.515,.660,.400,.369,.401,.367,.499,.061,314,.304,891,.871,.284,.422,13,1
10,Golden State Warriors,65,15725,.438,14.4,.645,.244,.166,.108,.128,.355,.495,.666,.382,.416,.384,.334,.597,.068,343,.252,733,.841,.182,.405,11,0
11,Houston Rockets,64,15435,.454,15.0,.512,.302,.131,.042,.037,.488,.554,.669,.375,.409,.409,.348,.429,.053,277,.297,962,.678,.239,.381,8,0
12,Indiana Pacers,65,15700,.477,13.2,.689,.301,.151,.118,.119,.311,.529,.649,.428,.457,.421,.363,.535,.037,190,.302,1012,.875,.237,.392,9,0
13,Los Angeles Clippers,64,15435,.464,13.7,.630,.275,.171,.105,.079,.370,.522,.668,.406,.415,.402,.366,.466,.070,363,.243,739,.832,.240,.395,10,0
14,Los Angeles Lakers*,63,15170,.485,13.4,.645,.316,.147,.084,.098,.355,.556,.727,.403,.397,.371,.355,.523,.095,494,.274,898,.831,.257,.406,9,0
15,Memphis Grizzlies,65,15625,.470,12.8,.659,.291,.205,.102,.061,.341,.531,.662,.435,.428,.402,.352,.550,.057,300,.270,898,.873,.199,.374,11,0
16,Miami Heat,65,15825,.470,14.6,.587,.256,.162,.093,.076,.413,.530,.689,.417,.404,.388,.383,.560,.076,374,.230,705,.843,.230,.377,17,0
17,Milwaukee Bucks*,65,15650,.477,14.5,.577,.290,.141,.081,.064,.423,.567,.714,.365,.468,.468,.356,.498,.057,316,.279,961,.807,.199,.407,6,0
18,Minnesota Timberwolves,64,15560,.441,14.0,.567,.308,.164,.055,.040,.433,.521,.640,.384,.373,.372,.336,.490,.043,229,.325,1020,.791,.173,.339,11,1
19,New Orleans Pelicans,64,15510,.462,14.0,.592,.308,.142,.078,.065,.408,.525,.664,.366,.386,.374,.372,.517,.061,320,.297,970,.871,.234,.401,19,0
20,New York Knicks,66,15965,.447,12.9,.682,.313,.159,.091,.119,.318,.499,.640,.364,.401,.382,.337,.451,.072,370,.286,867,.872,.201,.374,7,0
21,Oklahoma City Thunder,64,15460,.473,13.7,.655,.259,.177,.131,.088,.345,.536,.692,.385,.470,.476,.355,.461,.062,310,.274,774,.778,.195,.360,19,1
22,Orlando Magic,65,15625,.442,14.1,.640,.252,.175,.118,.095,.360,.498,.664,.397,.396,.372,.341,.517,.054,274,.261,806,.856,.140,.395,21,0
23,Philadelphia 76ers,65,15675,.465,13.8,.640,.267,.173,.112,.088,.360,.523,.687,.410,.399,.406,.362,.522,.057,299,.250,802,.925,.187,.404,12,0
24,Phoenix Suns,65,15675,.464,13.4,.639,.298,.145,.115,.081,.361,.527,.648,.410,.447,.404,.353,.580,.054,271,.270,850,.895,.237,.367,8,0
25,Portland Trail Blazers,66,15890,.461,14.3,.629,.273,.138,.117,.101,.371,.513,.632,.389,.431,.456,.372,.402,.048,257,.242,781,.669,.187,.410,11,0
26,Sacramento Kings,64,15510,.459,14.2,.605,.250,.188,.091,.076,.395,.522,.688,.397,.409,.419,.364,.470,.052,265,.258,812,.821,.213,.381,5,1
27,San Antonio Spurs,63,15295,.470,14.1,.679,.230,.157,.145,.147,.321,.517,.671,.433,.454,.428,.371,.481,.034,172,.237,771,.885,.199,.397,10,0
28,Toronto Raptors*,64,15460,.458,13.9,.582,.317,.151,.055,.058,.418,.521,.651,.367,.370,.355,.371,.531,.057,294,.306,925,.810,.221,.382,11,0
29,Utah Jazz,64,15385,.475,13.9,.594,.259,.203,.084,.048,.406,.537,.697,.407,.424,.425,.383,.446,.067,319,.269,789,.771,.251,.425,17,1
30,Washington Wizards,64,15435,.461,14.2,.636,.258,.161,.110,.107,.364,.511,.698,.368,.406,.385,.372,.514,.049,254,.286,926,.821,.163,.390,16,1
,League Average,64,15649,.460,13.9,.618,.283,.166,.092,.076,.382,.523,.666,.393,.415,.405,.357,.505,.060,308,.276,861,.813,.210,.389,12.4,0.3